Date,Ticker,Price
2021-10-08,BEL,62.84379577636719
2021-10-11,BEL,65.4969711303711
2021-10-12,BEL,66.0150375366211
2021-10-13,BEL,65.51268768310547
2021-10-14,BEL,66.10923767089844
2021-10-18,BEL,68.18153381347656
2021-10-19,BEL,64.94749450683594
2021-10-20,BEL,64.30382537841797
2021-10-21,BEL,64.17822265625
2021-10-22,BEL,63.25199890136719
2021-10-25,BEL,63.20487976074219
2021-10-26,BEL,64.743408203125
2021-10-27,BEL,65.01029205322266
2021-10-28,BEL,62.890892028808594
2021-10-29,BEL,64.94749450683594
2021-11-01,BEL,62.96939849853516
2021-11-02,BEL,62.98511505126953
2021-11-03,BEL,62.90659332275391
2021-11-04,BEL,63.3775749206543
2021-11-08,BEL,66.70580291748047
2021-11-09,BEL,69.32756805419922
2021-11-10,BEL,68.98219299316406
2021-11-11,BEL,70.11253356933594
2021-11-12,BEL,70.20671844482422
2021-11-15,BEL,69.90843963623047
2021-11-16,BEL,68.38561248779297
2021-11-17,BEL,67.64775085449219
2021-11-18,BEL,65.57546997070312
2021-11-22,BEL,63.73864364624024
2021-11-23,BEL,66.25052642822266
2021-11-24,BEL,65.41845703125
2021-11-25,BEL,66.4546127319336
2021-11-26,BEL,62.23152923583984
2021-11-29,BEL,61.93324661254883
2021-11-30,BEL,63.9741439819336
2021-12-01,BEL,64.63351440429688
2021-12-02,BEL,64.64921569824219
2021-12-03,BEL,64.88470458984375
2021-12-06,BEL,65.261474609375
2021-12-07,BEL,66.06212615966797
2021-12-08,BEL,65.60686492919922
2021-12-09,BEL,65.23007202148438
2021-12-10,BEL,64.53931427001953
2021-12-13,BEL,65.60686492919922
2021-12-14,BEL,65.87374114990234
2021-12-15,BEL,65.30857849121094
2021-12-16,BEL,65.057373046875
2021-12-17,BEL,63.20487976074219
2021-12-20,BEL,61.3052864074707
2021-12-21,BEL,62.63971328735352
2021-12-22,BEL,63.86426162719727
2021-12-23,BEL,65.59115600585938
2021-12-24,BEL,64.06832885742188
2021-12-27,BEL,64.97888946533203
2021-12-28,BEL,65.01029205322266
2021-12-29,BEL,65.84235382080078
2021-12-30,BEL,65.92083740234375
2021-12-31,BEL,65.92083740234375
2022-01-03,BEL,66.32901763916016
2022-01-04,BEL,67.86753845214844
2022-01-05,BEL,66.9726791381836
2022-01-06,BEL,66.53311157226562
2022-01-07,BEL,65.32427215576172
2022-01-10,BEL,66.20343017578125
2022-01-11,BEL,66.07783508300781
2022-01-12,BEL,66.12492370605469
2022-01-13,BEL,65.79525756835938
2022-01-14,BEL,69.1077880859375
2022-01-17,BEL,67.97742462158203
2022-01-18,BEL,65.41845703125
2022-01-19,BEL,65.35565185546875
2022-01-20,BEL,66.67440032958984
2022-01-21,BEL,64.97888946533203
2022-01-24,BEL,61.94894027709961
2022-01-25,BEL,64.11544799804688
2022-01-27,BEL,64.33522033691406
2022-01-28,BEL,65.02598571777344
2022-01-31,BEL,65.84235382080078
2022-02-01,BEL,65.12017059326172
2022-02-02,BEL,66.1720199584961
2022-02-03,BEL,65.29285430908203
2022-02-04,BEL,64.30382537841797
2022-02-07,BEL,63.4560775756836
2022-02-08,BEL,62.63971328735352
2022-02-09,BEL,64.09497833251953
2022-02-10,BEL,64.15825653076172
2022-02-11,BEL,63.38315963745117
2022-02-14,BEL,61.9753532409668
2022-02-15,BEL,62.94025802612305
2022-02-16,BEL,62.956085205078125
2022-02-17,BEL,63.58881378173828
2022-02-18,BEL,63.27243423461914
2022-02-21,BEL,62.68716430664063
2022-02-22,BEL,62.43408584594727
2022-02-23,BEL,62.956085205078125
2022-02-24,BEL,59.42863845825195
2022-02-25,BEL,63.31988525390625
2022-02-28,BEL,66.57843017578125
2022-03-02,BEL,68.334228515625
2022-03-03,BEL,68.03369140625
2022-03-04,BEL,67.98623657226562
2022-03-07,BEL,67.78059387207031
2022-03-08,BEL,67.3851547241211
2022-03-09,BEL,70.3747787475586
2022-03-10,BEL,68.57149505615234
2022-03-11,BEL,67.95459747314453
2022-03-14,BEL,66.37278747558594
2022-03-15,BEL,65.02826690673828
2022-03-16,BEL,66.11968994140625
2022-03-17,BEL,66.2462387084961
2022-03-21,BEL,66.08804321289062
2022-03-22,BEL,66.37278747558594
2022-03-23,BEL,65.6135025024414
2022-03-24,BEL,66.1233901977539
2022-03-25,BEL,65.6453857421875
2022-03-28,BEL,65.3426513671875
2022-03-29,BEL,66.09151458740234
2022-03-30,BEL,66.42611694335938
2022-03-31,BEL,67.17498779296875
2022-04-01,BEL,68.54524993896484
2022-04-04,BEL,69.93145751953125
2022-04-05,BEL,69.66059112548828
2022-04-06,BEL,70.10672760009766
2022-04-07,BEL,74.6795883178711
2022-04-08,BEL,76.35259246826172
2022-04-11,BEL,77.73880004882812
2022-04-12,BEL,77.24486541748047
2022-04-13,BEL,78.74259948730469
2022-04-18,BEL,81.2441177368164
2022-04-19,BEL,79.7623291015625
2022-04-20,BEL,80.71832275390625
2022-04-21,BEL,80.59086608886719
2022-04-22,BEL,80.1925277709961
2022-04-25,BEL,78.32833862304688
2022-04-26,BEL,79.82606506347656
2022-04-27,BEL,78.55139923095703
2022-04-28,BEL,78.59918975830078
2022-04-29,BEL,76.01799774169922
2022-05-02,BEL,75.8905258178711
2022-05-04,BEL,73.67578125
2022-05-05,BEL,74.8548583984375
2022-05-06,BEL,72.70386505126953
2022-05-09,BEL,71.8593978881836
2022-05-10,BEL,71.03085327148438
2022-05-11,BEL,69.78805541992188
2022-05-12,BEL,69.56497192382812
2022-05-13,BEL,69.70838165283203
2022-05-16,BEL,72.28960418701172
2022-05-17,BEL,74.16973876953125
2022-05-18,BEL,74.28126525878906
2022-05-19,BEL,72.4967269897461
2022-05-20,BEL,74.87078094482422
2022-05-23,BEL,73.73954010009766
2022-05-24,BEL,73.81918334960938
2022-05-25,BEL,72.1302490234375
2022-05-26,BEL,72.01873016357422
2022-05-27,BEL,73.5802001953125
2022-05-30,BEL,73.50051879882812
2022-05-31,BEL,74.80706787109375
2022-06-01,BEL,78.4239273071289
2022-06-02,BEL,78.31239318847656
2022-06-03,BEL,77.19705963134766
2022-06-06,BEL,77.56353759765625
2022-06-07,BEL,78.32833862304688
2022-06-08,BEL,78.16898345947266
2022-06-09,BEL,78.2486572265625
2022-06-10,BEL,78.6151351928711
2022-06-13,BEL,75.04606628417969
2022-06-14,BEL,76.91026306152344
2022-06-15,BEL,76.52787017822266
2022-06-16,BEL,74.05819702148438
2022-06-17,BEL,74.79112243652344
2022-06-20,BEL,72.38519287109375
2022-06-21,BEL,73.3730697631836
2022-06-22,BEL,71.97093200683594
2022-06-23,BEL,72.30552673339844
2022-06-24,BEL,74.40873718261719
2022-06-27,BEL,76.49598693847656
2022-06-28,BEL,75.34878540039062
2022-06-29,BEL,75.23725128173828
2022-06-30,BEL,74.59993743896484
2022-07-01,BEL,73.22965240478516
2022-07-04,BEL,73.19779205322266
2022-07-05,BEL,73.03845977783203
2022-07-06,BEL,73.62798309326172
2022-07-07,BEL,75.41252136230469
