Date,BDL.NS,BEL.NS,BEML.NS,COCHINSHIP.NS,HAL.NS,MAZDOCK.NS,^NSEI
2024-04-04,872.2777099609375,217.06495666503906,1631.28564453125,1055.545166015625,3465.271240234375,1080.1690673828125,22514.650390625
2024-04-05,865.33447265625,221.2032928466797,1656.404052734375,1067.2919921875,3509.407470703125,1082.777099609375,22513.69921875
2024-04-08,875.9229125976562,220.2672576904297,1688.5296630859375,1126.5201416015625,3490.911376953125,1108.5357666015625,22666.30078125
2024-04-09,860.5731811523438,224.79966735839844,1700.373291015625,1115.711181640625,3470.751708984375,1094.4384765625,22642.75
2024-04-10,877.0635986328125,225.39088439941406,1709.82373046875,1078.0516357421875,3489.19873046875,1085.8277587890625,22753.80078125
2024-04-12,873.2200317382812,230.0711212158203,1687.41943359375,1082.444580078125,3560.3447265625,1089.616455078125,22519.400390625
2024-04-15,875.0549926757812,231.00717163085938,1690.8492431640625,1043.3538818359375,3551.68408203125,1056.2308349609375,22272.5
2024-04-16,915.9708862304688,230.02186584472656,1713.4261474609375,1089.1572265625,3642.598388671875,1088.9029541015625,22147.900390625
2024-04-18,897.719970703125,227.755615234375,1702.4215087890625,1063.985107421875,3598.560302734375,1062.1356201171875,21995.849609375
2024-04-19,909.2012329101562,229.87408447265625,1697.6099853515625,1084.8631591796875,3671.125732421875,1077.14306640625,22147.0
2024-04-22,914.6318969726562,229.87408447265625,1707.1094970703125,1090.884521484375,3704.5947265625,1068.7781982421875,22336.400390625
2024-04-23,953.7623901367188,230.90866088867188,1736.1510009765625,1235.845458984375,3714.57666015625,1111.3651123046875,22368.0
2024-04-24,1014.9378051757812,233.02706909179688,1782.933349609375,1258.2537841796875,3862.349365234375,1136.434814453125,22402.400390625
2024-04-25,1021.7322998046875,234.1109161376953,1781.8231201171875,1309.1898193359375,3915.244384765625,1208.3970947265625,22570.349609375
2024-04-26,1000.8280639648438,235.4410858154297,1748.7349853515625,1334.6578369140625,3899.24365234375,1185.1231689453125,22419.94921875
2024-04-29,978.5598754882812,231.94322204589844,1710.4404296875,1320.7392578125,3931.83203125,1169.5496826171875,22643.400390625
2024-04-30,980.7669067382812,230.3174591064453,1730.8707275390625,1287.1273193359375,3855.15673828125,1155.796875,22604.849609375
2024-05-02,975.6585693359375,231.3027801513672,1717.1025390625,1308.5975341796875,3862.838623046875,1157.12548828125,22648.19921875
2024-05-03,971.864501953125,230.66232299804688,1753.0281982421875,1304.895751953125,3836.41552734375,1163.546630859375,22475.849609375
2024-05-06,945.0831909179688,228.44534301757812,1710.6131591796875,1271.0369873046875,3734.834228515625,1110.0855712890625,22442.69921875
2024-05-07,915.5989990234375,224.06069946289062,1636.2698974609375,1231.2060546875,3635.6015625,1064.6204833984375,22302.5
2024-05-08,936.3297119140625,228.1990509033203,1662.7945556640625,1278.1444091796875,3774.0771484375,1112.816650390625,22302.5
2024-05-09,926.5347290039062,222.8783416748047,1580.2100830078125,1218.8173828125,3764.437744140625,1088.5093994140625,21957.5
2024-05-10,923.2366943359375,223.76510620117188,1584.1087646484375,1213.93115234375,3790.126708984375,1081.0054931640625,22055.19921875
2024-05-13,907.9365234375,221.44961547851562,1814.2694091796875,1179.825439453125,3837.9326171875,1049.3421630859375,22104.05078125
2024-05-14,969.97998046875,227.55857849121094,1876.7200927734375,1325.9217529296875,3987.61376953125,1148.2440185546875,22217.849609375
2024-05-15,991.5289306640625,229.4306640625,1864.3333740234375,1313.3851318359375,4092.963134765625,1177.029052734375,22200.55078125
2024-05-16,1026.419189453125,234.40650939941406,1825.866455078125,1328.1922607421875,4505.3076171875,1200.49951171875,22403.849609375
2024-05-17,1152.7130126953125,244.5552520751953,1980.968505859375,1396.650146484375,4434.8466796875,1356.4049072265625,22466.099609375
2024-05-21,1258.920654296875,270.12420654296875,2061.52978515625,1619.89111328125,4680.0419921875,1432.89404296875,22529.05078125
2024-05-22,1308.73876953125,279.4354248046875,2249.794189453125,1612.2901611328125,4816.0224609375,1416.3612060546875,22597.80078125
2024-05-23,1393.8936767578125,284.2634582519531,2245.056640625,1865.8853759765625,4844.10888671875,1538.020263671875,22967.650390625
2024-05-24,1510.71484375,292.8357238769531,2253.6181640625,1887.947998046875,5056.22607421875,1563.26220703125,22957.099609375
2024-05-27,1532.338134765625,290.1260986328125,2269.434326171875,1945.6461181640625,5032.44580078125,1542.3992919921875,22932.44921875
2024-05-28,1441.678466796875,284.85467529296875,2209.476318359375,1884.838623046875,4912.46630859375,1494.2769775390625,22888.150390625
2024-05-29,1528.321044921875,287.8598937988281,2197.58349609375,1992.0909423828125,4943.78173828125,1651.978515625,22704.69921875
2024-05-30,1535.016357421875,286.3818664550781,2110.557861328125,1931.974365234375,4869.8955078125,1621.3486328125,22488.650390625
2024-05-31,1544.7369384765625,291.60406494140625,2171.65087890625,1922.596435546875,4867.546875,1566.7066650390625,22530.69921875
